"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 19 21:02:41 GMT 2023","Wed Apr 19 21:02:52 GMT 2023","10487","tests","test_carb_calculator","TestCarbCalc","","","test_car_calculator_with_valid_boundary_age_value[18]","
        This test verifies that the calculator displays results with valid age boundary values
        "
"broken","Wed Apr 19 21:02:30 GMT 2023","Wed Apr 19 21:02:41 GMT 2023","10800","tests","test_carb_calculator","TestCarbCalc","","","test_correct_results_with_miffin_st_joer_formula","
        This test verifies that the calculator displays correct results for male using Mifflin St Jeor formula.
        "
"broken","Wed Apr 19 21:02:52 GMT 2023","Wed Apr 19 21:03:02 GMT 2023","10457","tests","test_carb_calculator","TestCarbCalc","","","test_car_calculator_with_valid_boundary_age_value[80]","
        This test verifies that the calculator displays results with valid age boundary values
        "
"broken","Wed Apr 19 21:03:02 GMT 2023","Wed Apr 19 21:03:12 GMT 2023","10400","tests","test_carb_calculator","TestCarbCalc","","","test_car_calculator_with_invalid_boundary_age_value[17]","
        This test verifies that the calculator displays error message with in valid age boundary values
        "
"broken","Wed Apr 19 21:03:13 GMT 2023","Wed Apr 19 21:03:23 GMT 2023","10422","tests","test_carb_calculator","TestCarbCalc","","","test_car_calculator_with_invalid_boundary_age_value[81]","
        This test verifies that the calculator displays error message with in valid age boundary values
        "
